cardID,card_changes
187,6
189,5
147,5
143,5
137,5
200,4
152,4
130,4
22,4
199,3
198,3
196,3
195,3
192,3
191,3
190,3
185,3
181,3
180,3
178,3
176,3
175,3
174,3
173,3
170,3
169,3
168,3
166,3
164,3
163,3
161,3
159,3
158,3
157,3
150,3
149,3
148,3
142,3
141,3
138,3
133,3
128,3
120,3
119,3
118,3
114,3
113,3
111,3
109,3
108,3
106,3
105,3
103,3
102,3
101,3
96,3
95,3
94,3
92,3
90,3
89,3
86,3
83,3
81,3
80,3
79,3
78,3
76,3
75,3
74,3
73,3
71,3
69,3
67,3
66,3
61,3
59,3
56,3
55,3
53,3
51,3
50,3
49,3
46,3
43,3
42,3
40,3
38,3
37,3
34,3
33,3
30,3
29,3
28,3
27,3
25,3
24,3
21,3
19,3
18,3
14,3
13,3
12,3
9,3
7,3
6,3
5,3
3,3
2,3
194,2
193,2
186,2
183,2
182,2
179,2
177,2
171,2
165,2
160,2
156,2
151,2
146,2
145,2
144,2
139,2
136,2
132,2
129,2
127,2
126,2
125,2
124,2
123,2
121,2
116,2
115,2
112,2
107,2
104,2
100,2
99,2
98,2
91,2
85,2
82,2
77,2
68,2
65,2
62,2
60,2
57,2
54,2
45,2
36,2
35,2
31,2
26,2
23,2
20,2
17,2
16,2
11,2
197,1
188,1
184,1
172,1
167,1
162,1
155,1
154,1
153,1
140,1
135,1
134,1
131,1
122,1
117,1
110,1
97,1
93,1
88,1
87,1
84,1
72,1
70,1
64,1
63,1
58,1
52,1
48,1
47,1
44,1
41,1
39,1
32,1
15,1
10,1
8,1
4,1
1,1
